ROWID,Country,SourceYear,Academy,Entry,Number of Candidates under Induction,YearCode,Year
40,India,2006-07,Tech Entries,SSC(Tech),49,2006,"Financial Year (Apr - Mar), 2006"
41,India,2006-07,Tech Entries,TGC,98,2006,"Financial Year (Apr - Mar), 2006"
42,India,2006-07,Tech Entries,UES,83,2006,"Financial Year (Apr - Mar), 2006"
43,India,2006-07,OTA,WSES(O),151,2006,"Financial Year (Apr - Mar), 2006"
44,India,2007-08,Tech Entries,10+2 TES,173,2007,"Financial Year (Apr - Mar), 2007"
45,India,2007-08,IMA,ACC,121,2007,"Financial Year (Apr - Mar), 2007"
46,India,2007-08,NDA,Air Force,73,2007,"Financial Year (Apr - Mar), 2007"
47,India,2007-08,NDA,Army,218,2007,"Financial Year (Apr - Mar), 2007"
48,India,2007-08,IMA,IMA(DE),389,2007,"Financial Year (Apr - Mar), 2007"
49,India,2007-08,OTA,JAG,,2007,"Financial Year (Apr - Mar), 2007"
50,India,2007-08,NDA,Navy,43,2007,"Financial Year (Apr - Mar), 2007"
51,India,2007-08,OTA,NCC,67,2007,"Financial Year (Apr - Mar), 2007"
52,India,2007-08,IMA,PC(SL),34,2007,"Financial Year (Apr - Mar), 2007"
53,India,2007-08,IMA,SCO,35,2007,"Financial Year (Apr - Mar), 2007"
54,India,2007-08,OTA,SSC(NT),263,2007,"Financial Year (Apr - Mar), 2007"
55,India,2007-08,Tech Entries,SSC(Tech),10,2007,"Financial Year (Apr - Mar), 2007"
56,India,2007-08,Tech Entries,TGC,76,2007,"Financial Year (Apr - Mar), 2007"
57,India,2007-08,Tech Entries,UES,114,2007,"Financial Year (Apr - Mar), 2007"
58,India,2007-08,OTA,WSES(O),187,2007,"Financial Year (Apr - Mar), 2007"
59,India,2008-09,Tech Entries,10+2 TES,267,2008,"Financial Year (Apr - Mar), 2008"
60,India,2008-09,IMA,ACC,246,2008,"Financial Year (Apr - Mar), 2008"
61,India,2008-09,NDA,Air Force,209,2008,"Financial Year (Apr - Mar), 2008"
62,India,2008-09,NDA,Army,574,2008,"Financial Year (Apr - Mar), 2008"
63,India,2008-09,IMA,IMA(DE),392,2008,"Financial Year (Apr - Mar), 2008"
64,India,2008-09,OTA,JAG,,2008,"Financial Year (Apr - Mar), 2008"
65,India,2008-09,NDA,Navy,114,2008,"Financial Year (Apr - Mar), 2008"
66,India,2008-09,OTA,NCC,96,2008,"Financial Year (Apr - Mar), 2008"
67,India,2008-09,IMA,PC(SL),73,2008,"Financial Year (Apr - Mar), 2008"
68,India,2008-09,IMA,SCO,48,2008,"Financial Year (Apr - Mar), 2008"
69,India,2008-09,OTA,SSC(NT),273,2008,"Financial Year (Apr - Mar), 2008"
70,India,2008-09,Tech Entries,SSC(Tech),8,2008,"Financial Year (Apr - Mar), 2008"
71,India,2008-09,OTA,SSCW,99,2008,"Financial Year (Apr - Mar), 2008"
72,India,2008-09,Tech Entries,TGC,87,2008,"Financial Year (Apr - Mar), 2008"
73,India,2008-09,Tech Entries,UES,96,2008,"Financial Year (Apr - Mar), 2008"
74,India,2009-10,Tech Entries,10+2 TES,123,2009,"Financial Year (Apr - Mar), 2009"
75,India,2009-10,IMA,ACC,139,2009,"Financial Year (Apr - Mar), 2009"
76,India,2009-10,NDA,Air Force,143,2009,"Financial Year (Apr - Mar), 2009"
77,India,2009-10,NDA,Army,355,2009,"Financial Year (Apr - Mar), 2009"
78,India,2009-10,IMA,IMA(DE),267,2009,"Financial Year (Apr - Mar), 2009"
79,India,2009-10,OTA,JAG,,2009,"Financial Year (Apr - Mar), 2009"
80,India,2009-10,NDA,Navy,86,2009,"Financial Year (Apr - Mar), 2009"
81,India,2009-10,OTA,NCC,62,2009,"Financial Year (Apr - Mar), 2009"
82,India,2009-10,IMA,PC(SL),21,2009,"Financial Year (Apr - Mar), 2009"
83,India,2009-10,IMA,SCO,29,2009,"Financial Year (Apr - Mar), 2009"
84,India,2009-10,OTA,SSC(NT),140,2009,"Financial Year (Apr - Mar), 2009"
85,India,2009-10,Tech Entries,SSC(Tech),67,2009,"Financial Year (Apr - Mar), 2009"
86,India,2009-10,OTA,SSCW,100,2009,"Financial Year (Apr - Mar), 2009"
87,India,2009-10,Tech Entries,TGC,79,2009,"Financial Year (Apr - Mar), 2009"
88,India,2009-10,Tech Entries,UES,76,2009,"Financial Year (Apr - Mar), 2009"
89,India,2010-11,Tech Entries,10+2 TES,227,2010,"Financial Year (Apr - Mar), 2010"
90,India,2010-11,IMA,ACC,82,2010,"Financial Year (Apr - Mar), 2010"
91,India,2010-11,NDA,Air Force,132,2010,"Financial Year (Apr - Mar), 2010"
92,India,2010-11,NDA,Army,409,2010,"Financial Year (Apr - Mar), 2010"
93,India,2010-11,IMA,IMA(DE),275,2010,"Financial Year (Apr - Mar), 2010"
94,India,2010-11,OTA,JAG,7,2010,"Financial Year (Apr - Mar), 2010"
95,India,2010-11,NDA,Navy,78,2010,"Financial Year (Apr - Mar), 2010"
96,India,2010-11,OTA,NCC,79,2010,"Financial Year (Apr - Mar), 2010"
97,India,2010-11,IMA,PC(SL),20,2010,"Financial Year (Apr - Mar), 2010"
98,India,2010-11,IMA,SCO,26,2010,"Financial Year (Apr - Mar), 2010"
99,India,2010-11,OTA,SSC(NT),216,2010,"Financial Year (Apr - Mar), 2010"
100,India,2010-11,Tech Entries,SSC(Tech),156,2010,"Financial Year (Apr - Mar), 2010"
101,India,2010-11,OTA,SSCW,207,2010,"Financial Year (Apr - Mar), 2010"
102,India,2010-11,Tech Entries,TGC,178,2010,"Financial Year (Apr - Mar), 2010"
103,India,2010-11,Tech Entries,UES,83,2010,"Financial Year (Apr - Mar), 2010"
104,India,2011-12,Tech Entries,10+2 TES,237,2011,"Financial Year (Apr - Mar), 2011"
105,India,2011-12,IMA,ACC,129,2011,"Financial Year (Apr - Mar), 2011"
106,India,2011-12,NDA,Air Force,83,2011,"Financial Year (Apr - Mar), 2011"
107,India,2011-12,NDA,Army,466,2011,"Financial Year (Apr - Mar), 2011"
108,India,2011-12,IMA,IMA(DE),309,2011,"Financial Year (Apr - Mar), 2011"
109,India,2011-12,OTA,JAG,6,2011,"Financial Year (Apr - Mar), 2011"
110,India,2011-12,NDA,Navy,144,2011,"Financial Year (Apr - Mar), 2011"
111,India,2011-12,OTA,NCC,56,2011,"Financial Year (Apr - Mar), 2011"
112,India,2011-12,OTA,NCCW,18,2011,"Financial Year (Apr - Mar), 2011"
113,India,2011-12,IMA,PC(SL),60,2011,"Financial Year (Apr - Mar), 2011"
114,India,2011-12,IMA,SCO,63,2011,"Financial Year (Apr - Mar), 2011"
115,India,2011-12,OTA,SSC(NT),209,2011,"Financial Year (Apr - Mar), 2011"
116,India,2011-12,Tech Entries,SSC(Tech),280,2011,"Financial Year (Apr - Mar), 2011"
117,India,2011-12,OTA,SSCW(NT),53,2011,"Financial Year (Apr - Mar), 2011"
118,India,2011-12,OTA,SSCW(Tech),87,2011,"Financial Year (Apr - Mar), 2011"
119,India,2011-12,Tech Entries,TGC,219,2011,"Financial Year (Apr - Mar), 2011"
120,India,2011-12,Tech Entries,UES,80,2011,"Financial Year (Apr - Mar), 2011"
121,India,2013-14,Tech Entries,10+2 TES,347,2013,"Financial Year (Apr - Mar), 2013"
122,India,2013-14,IMA,ACC,168,2013,"Financial Year (Apr - Mar), 2013"
